Name                                                                                                  Stmts   Miss  Cover
-------------------------------------------------------------------------------------------------------------------------
blog\__init__.py                                                                                          0      0   100%
blog\admin.py                                                                                             3      0   100%
blog\apps.py                                                                                              3      3     0%
blog\blog_views.py                                                                                       42     42     0%
blog\forms.py                                                                                             6      6     0%
blog\migrations\0001_initial.py                                                                           9      0   100%
blog\migrations\0002_post_pic.py                                                                          5      0   100%
blog\migrations\__init__.py                                                                               0      0   100%
blog\models.py                                                                                           14      3    79%
blog\serializers.py                                                                                       6      6     0%
blog\tests\__init__.py                                                                                    0      0   100%
blog\tests\tests.py                                                                                       1      0   100%
blog\tests\testsforms.py                                                                                  1      0   100%
blog\tests\testsmodels.py                                                                                18      0   100%
blog\tests\testsviews.py                                                                                  1      0   100%
blog\urls.py                                                                                              7      7     0%
config\__init__.py                                                                                        0      0   100%
config\local_settings.py                                                                                  5      0   100%
config\settings.py                                                                                       49     17    65%
config\wsgi.py                                                                                            6      6     0%
custom_storages.py                                                                                        6      6     0%
home\__init__.py                                                                                          0      0   100%
home\admin.py                                                                                             1      0   100%
home\apps.py                                                                                              3      3     0%
home\home_views.py                                                                                       10     10     0%
home\migrations\__init__.py                                                                               0      0   100%
home\models.py                                                                                            1      0   100%
home\tests.py                                                                                             1      1     0%
home\urls.py                                                                                              3      3     0%
manage.py                                                                                                13      6    54%
myvenv\Lib\site-packages\coverage\backward.py                                                           100     99     1%
myvenv\Lib\site-packages\coverage\collector.py                                                          197    191     3%
myvenv\Lib\site-packages\coverage\control.py                                                            529    527     1%
myvenv\Lib\site-packages\coverage\execfile.py                                                           153    123    20%
myvenv\Lib\site-packages\coverage\phystokens.py                                                         146    138     5%
myvenv\Lib\site-packages\coverage\python.py                                                             129    113    12%
myvenv\Lib\site-packages\dj_database_url.py                                                              61     35    43%
myvenv\Lib\site-packages\django\__init__.py                                                              14      0   100%
myvenv\Lib\site-packages\django\apps\__init__.py                                                          3      0   100%
myvenv\Lib\site-packages\django\apps\config.py                                                           83     21    75%
myvenv\Lib\site-packages\django\apps\registry.py                                                        163     35    79%
myvenv\Lib\site-packages\django\conf\__init__.py                                                         90     37    59%
myvenv\Lib\site-packages\django\conf\global_settings.py                                                 140      0   100%
myvenv\Lib\site-packages\django\conf\locale\__init__.py                                                   2      0   100%
myvenv\Lib\site-packages\django\conf\urls\__init__.py                                                    44     31    30%
myvenv\Lib\site-packages\django\conf\urls\static.py                                                      11      5    55%
myvenv\Lib\site-packages\django\contrib\__init__.py                                                       0      0   100%
myvenv\Lib\site-packages\django\contrib\admin\__init__.py                                                10      0   100%
myvenv\Lib\site-packages\django\contrib\admin\actions.py                                                 36     26    28%
myvenv\Lib\site-packages\django\contrib\admin\apps.py                                                    14      0   100%
myvenv\Lib\site-packages\django\contrib\admin\checks.py                                                 416    221    47%
myvenv\Lib\site-packages\django\contrib\admin\decorators.py                                              14      3    79%
myvenv\Lib\site-packages\django\contrib\admin\exceptions.py                                               5      0   100%
myvenv\Lib\site-packages\django\contrib\admin\filters.py                                                209    144    31%
myvenv\Lib\site-packages\django\contrib\admin\helpers.py                                                231    168    27%
myvenv\Lib\site-packages\django\contrib\admin\migrations\0001_initial.py                                  7      0   100%
myvenv\Lib\site-packages\django\contrib\admin\migrations\0002_logentry_remove_auto_add.py                 6      0   100%
myvenv\Lib\site-packages\django\contrib\admin\migrations\__init__.py                                      0      0   100%
myvenv\Lib\site-packages\django\contrib\admin\models.py                                                  86     46    47%
myvenv\Lib\site-packages\django\contrib\admin\options.py                                                958    749    22%
myvenv\Lib\site-packages\django\contrib\admin\sites.py                                                  217    138    36%
myvenv\Lib\site-packages\django\contrib\admin\templatetags\__init__.py                                    0      0   100%
